ds,Consumption
1979-01-01,83959.40157
1979-02-01,83890.30044790138
1979-03-01,83827.88653116713
1979-04-01,83758.7854090685
1979-05-01,83691.91335542467
1979-06-01,83622.81223332603
1979-07-01,83555.94017968219
1979-08-01,83486.83905758357
1979-09-01,83417.73793548494
1979-10-01,83350.8658818411
1979-11-01,83281.76475974247
1979-12-01,83214.89270609863
1980-01-01,83145.791584
1980-02-01,83100.62139413388
1980-03-01,83058.36541006558
1980-04-01,83013.19522019946
1980-05-01,82969.48213323225
1980-06-01,82924.31194336612
1980-07-01,82880.59885639891
1980-08-01,82835.42866653278
1980-09-01,82790.25847666667
1980-10-01,82746.54538969944
1980-11-01,82701.37519983333
1980-12-01,82657.66211286612
1981-01-01,82612.491923
1981-02-01,82567.99906046575
1981-03-01,82527.81195882191
1981-04-01,82483.31909628767
1981-05-01,82440.26148738356
1981-06-01,82395.76862484931
1981-07-01,82352.7110159452
1981-08-01,82308.21815341095
1981-09-01,82263.72529087671
1981-10-01,82220.6676819726
1981-11-01,82176.17481943835
1981-12-01,82133.11721053424
1982-01-01,82088.624348
1982-02-01,82170.85156916562
1982-03-01,82245.1213173152
1982-04-01,82327.34853848082
1982-05-01,82406.9232686411
1982-06-01,82489.1504898067
1982-07-01,82568.72521996699
1982-08-01,82650.9524411326
1982-09-01,82733.17966229822
1982-10-01,82812.75439245849
1982-11-01,82894.98161362411
1982-12-01,82974.55634378438
1983-01-01,83056.78356495
1983-02-01,83335.97465869309
1983-03-01,83588.1472594933
1983-04-01,83867.33835323638
1983-05-01,84137.52328266518
1983-06-01,84416.71437640827
1983-07-01,84686.89930583707
1983-08-01,84966.09039958015
1983-09-01,85245.28149332323
1983-10-01,85515.46642275203
1983-11-01,85794.65751649512
1983-12-01,86064.84244592392
1984-01-01,86344.033539667
1984-02-01,86490.51788184843
1984-03-01,86627.55162130848
1984-04-01,86774.0359634899
1984-05-01,86915.79500431064
1984-06-01,87062.27934649207
1984-07-01,87204.0383873128
1984-08-01,87350.52272949423
1984-09-01,87497.00707167566
1984-10-01,87638.7661124964
