ds,Population
1979-01-01,4365583000.0
1979-02-01,4372243753.424658
1979-03-01,4378259917.808219
1979-04-01,4384920671.232877
1979-05-01,4391366561.643836
1979-06-01,4398027315.068493
1979-07-01,4404473205.479452
1979-08-01,4411133958.90411
1979-09-01,4417794712.328767
1979-10-01,4424240602.739726
1979-11-01,4430901356.164384
1979-12-01,4437347246.575342
1980-01-01,4444008000.0
1980-02-01,4450836427.595629
1980-03-01,4457224311.4754095
1980-04-01,4464052739.071038
1980-05-01,4470660894.8087435
1980-06-01,4477489322.404371
1980-07-01,4484097478.1420765
1980-08-01,4490925905.737705
1980-09-01,4497754333.333333
1980-10-01,4504362489.071038
1980-11-01,4511190916.666667
1980-12-01,4517799072.404371
1981-01-01,4524627500.0
1981-02-01,4531707144.109589
1981-03-01,4538101661.369863
1981-04-01,4545181305.479452
1981-05-01,4552032573.972603
1981-06-01,4559112218.082191
1981-07-01,4565963486.575342
1981-08-01,4573043130.684932
1981-09-01,4580122774.79452
1981-10-01,4586974043.287671
1981-11-01,4594053687.397261
1981-12-01,4600904955.890411
1982-01-01,4607984600.0
1982-02-01,4615110302.465754
1982-03-01,4621546420.821918
1982-04-01,4628672123.287671
1982-05-01,4635567964.383562
1982-06-01,4642693666.849315
1982-07-01,4649589507.945206
1982-08-01,4656715210.410959
1982-09-01,4663840912.876713
1982-10-01,4670736753.972603
1982-11-01,4677862456.438356
1982-12-01,4684758297.534246
1983-01-01,4691884000.0
1983-02-01,4699014169.863013
1983-03-01,4705454323.287671
1983-04-01,4712584493.150685
1983-05-01,4719484657.534246
1983-06-01,4726614827.397261
1983-07-01,4733514991.780822
1983-08-01,4740645161.643836
1983-09-01,4747775331.506849
1983-10-01,4754675495.890411
1983-11-01,4761805665.753425
1983-12-01,4768705830.136987
1984-01-01,4775836000.0
1984-02-01,4783111259.562841
1984-03-01,4789917147.540983
1984-04-01,4797192407.103826
1984-05-01,4804232980.874317
1984-06-01,4811508240.437159
1984-07-01,4818548814.20765
1984-08-01,4825824073.770492
1984-09-01,4833099333.333333
1984-10-01,4840139907.103826
1984-11-01,4847415166.666667
1984-12-01,4854455740.437159
1985-01-01,4861731000.0
1985-02-01,4869233169.863013
1985-03-01,4876009323.287671
1985-04-01,4883511493.150685
1985-05-01,4890771657.534246
1985-06-01,4898273827.397261
1985-07-01,4905533991.780822
1985-08-01,4913036161.643836
1985-09-01,4920538331.506849
