DateTime,Monthly Anamoly
1880-01-01,-0.139
1880-02-01,3.05
1880-03-01,6.034
1880-04-01,9.972
1880-05-01,15.601
1880-06-01,18.261999999999997
1880-07-01,23.182
1880-08-01,24.358
1880-09-01,20.745
1880-10-01,14.477
1880-11-01,7.863
1880-12-01,1.544
1881-01-01,-0.5300000000000001
1881-02-01,0.772
1881-03-01,2.992
1881-04-01,9.193
1881-05-01,15.517
1881-06-01,20.001
1881-07-01,22.747
1881-08-01,25.288
1881-09-01,21.106
1881-10-01,13.52
1881-11-01,8.485000000000001
1881-12-01,1.836
1882-01-01,1.938
1882-02-01,2.199
1882-03-01,4.274
1882-04-01,10.85
1882-05-01,14.618000000000002
1882-06-01,18.575999999999997
1882-07-01,22.904
1882-08-01,23.747
1882-09-01,19.801
1882-10-01,13.842
1882-11-01,7.319000000000001
1882-12-01,1.7559999999999998
1883-01-01,0.2139999999999999
1883-02-01,-0.1719999999999999
1883-03-01,3.0210000000000004
1883-04-01,9.537
1883-05-01,13.784
1883-06-01,18.636999999999997
1883-07-01,23.146
1883-08-01,23.727
1883-09-01,20.002
1883-10-01,14.51
1883-11-01,7.545000000000001
1883-12-01,1.935
1884-01-01,-0.293
1884-02-01,-0.1260000000000001
1884-03-01,3.55
1884-04-01,9.165
1884-05-01,14.031
1884-06-01,18.453
1884-07-01,22.407
1884-08-01,22.602
1884-09-01,20.291
1884-10-01,12.936
1884-11-01,5.115
1884-12-01,0.5459999999999998
1885-01-01,-1.97
1885-02-01,-0.7570000000000001
1885-03-01,2.313
1885-04-01,9.226
1885-05-01,13.665
1885-06-01,18.941
1885-07-01,21.632
1885-08-01,24.022
1885-09-01,20.377
1885-10-01,14.074
1885-11-01,8.188
1885-12-01,3.3459999999999996
1886-01-01,-0.329
1886-02-01,-0.8639999999999999
1886-03-01,4.639
1886-04-01,10.473
1886-05-01,14.883
1886-06-01,19.508999999999997
1886-07-01,23.952
1886-08-01,25.419
1886-09-01,21.65
1886-10-01,14.564
1886-11-01,8.253
1886-12-01,2.12
1887-01-01,-0.026
1887-02-01,1.349
1887-03-01,4.601
1887-04-01,10.277
1887-05-01,13.599
1887-06-01,18.697
1887-07-01,22.632
1887-08-01,24.571
1887-09-01,19.296
1887-10-01,14.657
1887-11-01,9.029
1887-12-01,3.1319999999999997
1888-01-01,0.246
1888-02-01,-0.7280000000000002
1888-03-01,4.768
1888-04-01,10.356
1888-05-01,14.683000000000002
1888-06-01,17.151
1888-07-01,23.594
1888-08-01,24.306
1888-09-01,19.037
1888-10-01,12.956
1888-11-01,9.408
1888-12-01,3.072
1889-01-01,-0.8550000000000001
1889-02-01,0.314
1889-03-01,4.634
1889-04-01,9.974
1889-05-01,13.796
1889-06-01,19.424
1889-07-01,22.376
1889-08-01,24.358
1889-09-01,18.559
1889-10-01,12.454
1889-11-01,7.189000000000001
1889-12-01,2.646
1890-01-01,0.54
1890-02-01,3.695
1890-03-01,6.865
1890-04-01,12.09
1890-05-01,14.882
1890-06-01,20.002
1890-07-01,22.511
1890-08-01,24.58
1890-09-01,22.283
1890-10-01,13.82
1890-11-01,8.707
