year,month,Monthly Anamoly,Monthly Unc.,city_num,DateTime
1819,7,23.127,1.964,0,1819-07-01
1819,8,,,0,1819-08-01
1819,9,20.36,1.764,0,1819-09-01
1819,10,12.881,2.03,0,1819-10-01
1819,11,4.459,2.194,0,1819-11-01
1819,12,-1.7389999999999999,2.274,0,1819-12-01
1820,1,-7.096,3.084,0,1820-01-01
1820,2,-2.071,2.802,0,1820-02-01
1820,3,3.247,2.077,0,1820-03-01
1820,4,10.832,2.038,0,1820-04-01
1820,5,16.166999999999998,1.363,0,1820-05-01
1820,6,19.919999999999998,1.316,0,1820-06-01
1820,7,23.94,1.973,0,1820-07-01
1820,8,23.123,1.775,0,1820-08-01
1820,9,19.748,1.773,0,1820-09-01
1820,10,12.315999999999999,1.814,0,1820-10-01
1820,11,4.292999999999999,1.584,0,1820-11-01
1820,12,-3.298,2.08,0,1820-12-01
1821,1,-3.681,1.884,0,1821-01-01
1821,2,-1.1340000000000001,2.233,0,1821-02-01
1821,3,3.629,2.238,0,1821-03-01
1821,4,10.368,1.719,0,1821-04-01
1821,5,16.127,2.155,0,1821-05-01
1821,6,19.431,2.137,0,1821-06-01
1821,7,23.343,2.325,0,1821-07-01
1821,8,24.036,1.757,0,1821-08-01
1821,9,,,0,1821-09-01
1821,10,11.687999999999999,2.01,0,1821-10-01
1821,11,4.4190000000000005,2.446,0,1821-11-01
1821,12,-1.884,1.795,0,1821-12-01
1822,1,-4.897,2.467,0,1822-01-01
1822,2,-1.5310000000000001,2.128,0,1822-02-01
1822,3,5.635,1.925,0,1822-03-01
1822,4,9.176,2.015,0,1822-04-01
1822,5,14.793999999999999,1.109,0,1822-05-01
1822,6,19.925,1.122,0,1822-06-01
1822,7,23.149,1.316,0,1822-07-01
1822,8,23.781,1.427,0,1822-08-01
1822,9,19.597,1.861,0,1822-09-01
1822,10,12.147,1.732,0,1822-10-01
1822,11,4.088,1.994,0,1822-11-01
1822,12,-3.295,2.528,0,1822-12-01
1823,1,-4.8469999999999995,1.583,0,1823-01-01
1823,2,-2.0220000000000002,2.209,0,1823-02-01
1823,3,2.712,2.192,0,1823-03-01
1823,4,9.185,2.394,0,1823-04-01
1823,5,14.323,1.838,0,1823-05-01
1823,6,20.23,1.506,0,1823-06-01
1823,7,24.36,1.836,0,1823-07-01
1823,8,23.511,1.367,0,1823-08-01
1823,9,19.203,1.619,0,1823-09-01
1823,10,12.508,2.085,0,1823-10-01
1823,11,,,0,1823-11-01
1823,12,,,0,1823-12-01
1824,1,,,0,1824-01-01
1824,2,,,0,1824-02-01
1824,3,,,0,1824-03-01
1824,4,,,0,1824-04-01
1824,5,,,0,1824-05-01
1824,6,,,0,1824-06-01
1824,7,,,0,1824-07-01
1824,8,,,0,1824-08-01
1824,9,,,0,1824-09-01
1824,10,,,0,1824-10-01
1824,11,,,0,1824-11-01
1824,12,,,0,1824-12-01
1825,1,-3.61,1.913,0,1825-01-01
1825,2,-2.193,1.526,0,1825-02-01
